date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:48	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Nov%202017%2007:54:48%20GMT	https://reportbot.io/robots.txt		(from )
09:54:48	2864/2864	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202017%2020:53:07%20GMT	https://reportbot.io/	C:/My%20Web%20Sites/reportbot/reportbot.io/index.html	(from )
09:54:49	697/697	---MC-	200	added ('OK')	text/javascript	date:Tue,%2021%20Nov%202017%2007:54:48%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/reportbot/www.google.com/recaptcha/api.js	(from https://reportbot.io/)
09:54:49	5717/5717	---M--	200	added ('OK')	image/png	date:Tue,%2012%20May%202015%2019:15:42%20UTC	https://cdn0.iconfinder.com/data/icons/small-n-flat/24/678075-sign-ban-128.png	C:/My%20Web%20Sites/reportbot/cdn0.iconfinder.com/data/icons/small-n-flat/24/678075-sign-ban-128.png	(from https://reportbot.io/)
09:54:49	2321/2321	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20May%202017%2019:03:43%20GMT	https://cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.min.css	C:/My%20Web%20Sites/reportbot/cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.min.css	(from https://reportbot.io/)
09:54:50	5803/5803	---MCZ	200	added ('OK')	text/css	etag:W/%2216ab-55e703b125c45-gzip%22	https://reportbot.io/css/main.css	C:/My%20Web%20Sites/reportbot/reportbot.io/css/main.css	(from https://reportbot.io/)
09:54:51	8804/8804	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222264-55e703b23c929%22	https://reportbot.io/media/logo.svg	C:/My%20Web%20Sites/reportbot/reportbot.io/media/logo.svg	(from https://reportbot.io/)
09:54:51	727/727	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d7-55e703b2f0bf2%22	https://reportbot.io/media/spinner.svg	C:/My%20Web%20Sites/reportbot/reportbot.io/media/spinner.svg	(from https://reportbot.io/)
09:54:55	97163/97163	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:04:24%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/reportbot/cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://reportbot.io/)
09:54:57	12627/12627	---MCZ	200	added ('OK')	text/javascript	etag:W/%223153-55e7045f55596-gzip%22	https://reportbot.io/js/script.min.js?v=12.4.2	C:/My%20Web%20Sites/reportbot/reportbot.io/js/script.minf18e.js	(from https://reportbot.io/)
09:55:01	51944/51944	---M--	200	added ('OK')	text/html	etag:%22cae8-55e703b14e89b%22	https://reportbot.io/fonts/ProximaNova-Bold.woff	C:/My%20Web%20Sites/reportbot/reportbot.io/fonts/ProximaNova-Bold.html	(from https://reportbot.io/css/main.css)
09:55:04	34644/34644	---M--	200	added ('OK')	text/html	etag:%228754-55e703b14dce3%22	https://reportbot.io/fonts/ProximaNova-Bold.woff2	C:/My%20Web%20Sites/reportbot/reportbot.io/fonts/ProximaNova-Bold-2.html	(from https://reportbot.io/css/main.css)
09:55:08	70345/70345	---M--	200	added ('OK')	image/png	etag:%22112c9-55e703b2a2225%22	https://reportbot.io/media/poster.png	C:/My%20Web%20Sites/reportbot/reportbot.io/media/poster.png	(from https://reportbot.io/css/main.css)
09:55:18	9311357/9311357	---M--	200	added ('OK')	video/webm	etag:%228e147d-55e703c2fe52c%22	https://reportbot.io/media/video.webm	C:/My%20Web%20Sites/reportbot/reportbot.io/media/video.webm	(from https://reportbot.io/)
09:55:20	8381103/8381103	---M--	200	added ('OK')	video/ogg	etag:%227fe2af-55e703c0f5d22%22	https://reportbot.io/media/video.ogv	C:/My%20Web%20Sites/reportbot/reportbot.io/media/video.ogv	(from https://reportbot.io/)
09:55:26	19807801/19807801	---M--	200	added ('OK')	video/mp4	etag:%2212e3e39-55e703bf26b0e%22	https://reportbot.io/media/video.mp4	C:/My%20Web%20Sites/reportbot/reportbot.io/media/video.mp4	(from https://reportbot.io/)
